w_stock,w_bond,w_gold,w_cash,entry_count,mean_return,median_return,mean_cagr,median_cagr,cagr_p10,cagr_p90,std_return,mean_maxdd,worst_maxdd,mean_sharpe,mean_calmar,best_return,worst_return,all_positive,positive_rate,win_rate_1m,win_rate_3m,win_rate_6m,win_rate_12m,win_rate_24m,version
0.1,0.2,0.4,0.3,5528,1.2602122566475356,1.0613846722255598,0.08797081218008856,0.06895192579111198,0.056705224231678786,0.16941597322748805,0.7678801694263134,0.1041861268582816,0.1532566195553099,1.1113584177117468,0.8443620550339701,3.3822306503147095,-0.05623170452647985,0,0.9855282199710564,0.9892863628109678,0.9954254345837146,1.0,1.0,1.0,nikkei225
0.1,0.25,0.35000000000000003,0.3,5528,1.1299121518724626,0.9665354280921384,0.08155345223363562,0.0638754460584311,0.05382352917040054,0.15473189388160924,0.6684547241224134,0.09109514650896015,0.13781197670080936,1.116182394298325,0.8952557338015148,2.9352370074178626,-0.047007532319030876,0,0.9862518089725036,0.99001271109497,0.995608417200366,1.0,1.0,1.0,nikkei225
0.1,0.25,0.4,0.25,5528,1.2740505433322558,1.0723638324427822,0.08847954496806194,0.06945513790993352,0.0572067053623466,0.16993582494303286,0.7793938064431877,0.10377117602200484,0.1529424261066956,1.11930812899653,0.8526408619412748,3.4271058571000115,-0.05610960743451432,0,0.9855282199710564,0.9892863628109678,0.9954254345837146,1.0,1.0,1.0,nikkei225
0.1,0.3,0.3,0.3,5528,0.995733065462433,0.876380064838675,0.0747997960593302,0.05848626675673074,0.0502339157601567,0.13946396665583416,0.56660207937857,0.0798770638559615,0.12257396959611523,1.114725099168083,0.9364364743578095,2.4922463812071665,-0.03778336011158279,0,0.9866136034732272,0.9903758852369712,0.9959743824336688,1.0,1.0,1.0,nikkei225
0.1,0.3,0.35000000000000003,0.25,5528,1.144297525614098,0.9774799351587186,0.08208249580719525,0.0644637959109583,0.05432495308775389,0.15524541754875743,0.6815916294987431,0.09088734622369879,0.13749685928657876,1.1256092376068432,0.9031234733729337,2.985682671121465,-0.04688543522706634,0,0.9862518089725036,0.99001271109497,0.995608417200366,1.0,1.0,1.0,nikkei225
0.1,0.3,0.4,0.2,5528,1.2897272262439332,1.0850808137223866,0.08904296454203821,0.07002091398995902,0.057780639075620165,0.1704557358158479,0.792201319002702,0.10335714982216661,0.15262827388267897,1.1284116090043994,0.8615075463598117,3.4767274409908087,-0.05598751034254823,0,0.9857091172214182,0.9894679498819684,0.995608417200366,1.0,1.0,1.0,nikkei225
0.1,0.35000000000000003,0.25,0.3,5528,0.8690013272687246,0.7835311420973785,0.06786618084125022,0.05315979550327932,0.04622343628927004,0.1241373644902195,0.47863262516831334,0.06911392555860443,0.10754725981671112,1.110510711700406,0.9819465511867619,2.1001916588956573,-0.02855918790413392,0,0.9873371924746743,0.9907390593789722,0.9961573650503203,1.0,1.0,1.0,nikkei225
0.1,0.35000000000000003,0.3,0.25,5528,1.0070334681601751,0.8859005250686229,0.07526121882321854,0.05895685964113917,0.050707298042240966,0.13981355574411597,0.5757592927434638,0.07968248091035858,0.12224304537050894,1.1240617661788528,0.9445140006105748,2.5269720230241473,-0.03766126301961714,0,0.9866136034732272,0.9903758852369712,0.9959743824336688,1.0,1.0,1.0,nikkei225
0.1,0.35000000000000003,0.35000000000000003,0.2,5528,1.1573450496239268,0.9876360130664354,0.0825884581277552,0.06496635395826378,0.05482613201712383,0.15575898183346495,0.6922083481503536,0.09068369586537173,0.13718178347391605,1.1344618019750723,0.9107310563341545,3.0266114385215888,-0.046763338135099586,0,0.9862518089725036,0.99001271109497,0.995608417200366,1.0,1.0,1.0,nikkei225
0.1,0.35000000000000003,0.4,0.15000000000000002,5528,1.303777016230412,1.095883092392223,0.08955141168376385,0.07052417116310605,0.058282062406971515,0.1709757058494003,0.803958688933937,0.10294590814584052,0.15231416287514324,1.136369363478272,0.8698880149456637,3.522518936869483,-0.055865413250582585,0,0.9857091172214182,0.9894679498819684,0.995608417200366,1.0,1.0,1.0,nikkei225
0.1,0.4,0.2,0.3,5528,0.749723588583229,0.6865425529016412,0.061053035522993966,0.04790552210493826,0.04209498328144427,0.10926966168802414,0.3981651679490175,0.06016373830802534,0.09264799840270142,1.1015008272760551,1.0147812825462343,1.742830200787305,-0.019335015696685276,0,0.9900506512301013,0.9930996913019793,0.9972552607502287,1.0,1.0,1.0,nikkei225
0.1,0.4,0.25,0.25,5528,0.8801704905273717,0.792979904576755,0.06837063797110601,0.05366156513331033,0.046723811188184826,0.12464490567737332,0.48713180810986784,0.06898959938130104,0.10721530556976751,1.1218906229702998,0.9910281924268892,2.132339510675607,-0.028437090812167942,0,0.9873371924746743,0.9907390593789722,0.9961573650503203,1.0,1.0,1.0,nikkei225
0.1,0.4,0.3,0.2,5528,1.019145996668158,0.8962450282082143,0.07576643394606375,0.05945763423630945,0.05121175244726937,0.14032238451504087,0.5852967599668774,0.07948863633673307,0.12191215377580403,1.1340192912731244,0.9531731507519996,2.563401572566844,-0.03753916592765161,0,0.9866136034732272,0.9903758852369712,0.9959743824336688,1.0,1.0,1.0,nikkei225
0.1,0.4,0.35000000000000003,0.15000000000000002,5528,1.1625729064094048,1.0035335757623607,0.08300094180936665,0.06522832518301991,0.055134952996692556,0.15627258673997219,0.6900566774108124,0.09139837043880099,0.13686674925458153,1.1402218813014025,0.9081227751751095,3.02925221873837,-0.04664124104313483,0,0.9862518089725036,0.99001271109497,0.995608417200366,1.0,1.0,1.0,nikkei225
0.1,0.4,0.4,0.1,5528,1.3161417999649254,1.106105015378049,0.09002238704923687,0.07095902341175953,0.0586820073227071,0.17149573504714807,0.8139114651263655,0.10276287313069378,0.1520000930759797,1.1434020352634546,0.8760205345246278,3.5624822821761555,-0.05574331615861794,0,0.9857091172214182,0.9894679498819684,0.995608417200366,1.0,1.0,1.0,nikkei225
0.1,0.45,0.15000000000000002,0.3,5528,0.6304310010073684,0.5855381376741321,0.05368864345135313,0.04243076146816205,0.03712995151478175,0.09339627906969954,0.3242914480302788,0.051662248336132324,0.07978910279425655,1.0707295545961568,1.039223904891564,1.410636074944025,-0.010110843489236077,0,0.9933068017366136,0.9961866715089885,0.9981701738334858,1.0,1.0,1.0,nikkei225
