date,stock,gold
2020-01-02,1019.723,346.24
2020-01-03,1024.482,351.16
2020-01-06,1027.277,358.34
2020-01-07,1043.083,354.94
2020-01-08,1051.16,360.68
2020-01-09,1078.312,348.04
2020-01-10,1076.438,349.3
2020-01-13,1105.848,349.42
2020-01-14,1118.306,344.7
2020-01-15,1114.766,347.54
2020-01-16,1154.303,347.96
2020-01-17,1238.664,347.78
2020-01-20,1240.509,347.94
2020-01-21,1195.014,351.34
2020-01-22,1244.525,348.32
2020-01-23,1202.102,350.72
2020-02-03,1030.55,359.3
2020-02-04,1153.232,356.2
2020-02-05,1203.613,354.22
2020-02-06,1238.757,352.4
2020-02-07,1307.757,354.3
2020-02-10,1322.25,355.56
2020-02-11,1283.572,354.6
2020-02-12,1348.702,354.0
2020-02-13,1360.709,356.52
2020-02-14,1327.224,356.78
2020-02-17,1381.553,357.9
2020-02-18,1399.384,359.68
2020-02-19,1373.444,364.06
2020-02-20,1348.338,365.06
2020-02-21,1346.863,371.9
2020-02-24,1351.71,379.7
2020-02-25,1367.368,371.74
2020-02-26,1288.242,374.26
2020-02-27,1264.941,374.3
2020-02-28,1191.055,369.98
2020-03-02,1252.624,361.24
2020-03-03,1285.034,360.26
2020-03-04,1255.723,368.54
2020-03-05,1264.788,368.62
2020-03-06,1243.373,376.08
2020-03-09,1171.859,373.42
2020-03-10,1216.328,368.64
2020-03-11,1184.71,371.22
2020-03-12,1167.065,367.26
2020-03-13,1175.282,356.4
2020-03-16,1115.084,347.18
2020-03-17,1131.547,330.88
2020-03-18,1115.019,339.08
2020-03-19,1128.973,336.62
2020-03-20,1127.369,339.78
2020-03-23,1039.884,339.62
2020-03-24,1060.843,358.46
2020-03-25,1101.319,364.4
2020-03-26,1095.338,363.34
2020-03-27,1084.505,367.58
2020-03-30,1035.827,364.7
2020-03-31,1029.749,364.9
2020-04-01,1037.927,358.62
2020-04-02,1094.826,360.7
2020-04-03,1080.53,363.48
2020-04-07,1111.654,373.88
2020-04-08,1104.145,370.2
2020-04-09,1101.281,371.46
2020-04-10,1058.44,373.74
2020-04-13,1042.145,373.26
2020-04-14,1073.217,377.6
2020-04-15,1088.203,376.32
2020-04-16,1091.933,379.38
2020-04-17,1117.07,372.18
2020-04-20,1133.361,370.8
2020-04-21,1119.229,374.42
2020-04-22,1135.849,373.18
2020-04-23,1149.716,379.8
2020-04-24,1144.153,382.78
2020-04-27,1138.1,380.14
2020-04-28,1113.513,377.1
2020-04-29,1102.698,378.74
2020-04-30,1166.348,380.28
2020-05-06,1247.513,380.08
2020-05-07,1224.105,378.18
2020-05-08,1240.246,383.38
2020-05-11,1226.061,381.74
2020-05-12,1233.592,380.88
2020-05-13,1247.034,381.86
2020-05-14,1242.169,384.46
2020-05-15,1270.481,390.16
2020-05-18,1254.299,401.16
2020-05-19,1324.418,394.5
2020-05-20,1306.998,398.72
2020-05-21,1251.931,395.06
2020-05-22,1230.659,394.38
2020-05-25,1212.087,393.54
2020-05-26,1272.661,395.34
2020-05-27,1253.272,391.2
2020-05-28,1232.22,394.18
2020-05-29,1246.111,394.42
2020-06-01,1300.741,398.0
2020-06-02,1305.637,396.96
2020-06-03,1294.28,393.04
2020-06-04,1299.803,389.74
2020-06-05,1297.306,390.18
2020-06-08,1280.053,386.28
2020-06-09,1278.507,386.3
2020-06-10,1269.978,390.4
2020-06-11,1273.59,393.7
2020-06-12,1262.29,393.62
2020-06-15,1249.909,392.54
2020-06-16,1289.135,392.4
2020-06-17,1291.117,392.86
2020-06-18,1302.371,392.18
2020-06-19,1325.147,392.94
2020-06-22,1371.207,397.5
2020-06-23,1407.193,396.96
2020-06-24,1424.277,400.06
2020-06-29,1401.644,400.14
2020-06-30,1447.886,400.72
2020-07-01,1439.878,403.1
2020-07-02,1437.052,399.06
2020-07-03,1438.585,400.54
2020-07-06,1538.402,399.66
2020-07-07,1572.189,400.32
2020-07-08,1599.905,402.36
2020-07-09,1666.85,404.94
2020-07-10,1654.827,401.88
2020-07-13,1721.976,403.74
2020-07-14,1701.583,403.02
2020-07-15,1612.035,403.62
2020-07-16,1469.798,402.12
2020-07-17,1443.397,399.76
2020-07-20,1459.034,401.78
2020-07-21,1490.171,404.54
2020-07-22,1497.231,414.22
2020-07-23,1494.139,416.52
2020-07-24,1389.305,420.4
2020-07-27,1374.519,430.06
2020-07-28,1400.535,429.94
2020-07-29,1476.925,431.38
2020-07-30,1472.792,428.94
2020-07-31,1512.977,432.86
2020-08-03,1622.813,431.4
2020-08-04,1566.055,431.96
2020-08-05,1588.622,444.06
2020-08-06,1573.869,447.56
2020-08-07,1526.804,449.72
2020-08-10,1535.597,446.38
2020-08-11,1491.841,436.94
2020-08-12,1458.643,417.16
2020-08-13,1468.229,416.74
2020-08-14,1484.041,420.3
2020-08-17,1496.4,424.44
2020-08-18,1512.509,433.94
2020-08-19,1472.021,429.16
