date,stock,gold
2009-01-05,2020.243,190.25
2009-01-06,2091.892,184.61
2009-01-07,2104.922,187.63
2009-01-08,2052.3,184.79
2009-01-09,2107.766,186.94
2009-01-12,2137.841,185.82
2009-01-13,2081.672,179.2
2009-01-14,2160.064,180.9
2009-01-15,2181.061,177.48
2009-01-16,2195.634,180.41
2009-01-19,2192.807,184.12
2009-01-20,2214.839,181.65
2009-01-21,2217.626,186.43
2009-01-22,2256.367,186.61
2009-01-23,2238.082,187.51
2009-02-02,2306.769,198.46
2009-02-03,2369.654,197.31
2009-02-04,2423.887,196.85
2009-02-05,2384.764,198.75
2009-02-06,2493.74,200.31
2009-02-09,2579.228,198.33
2009-02-10,2653.213,195.99
2009-02-11,2658.05,199.58
2009-02-12,2707.922,205.54
2009-02-13,2805.01,206.08
2009-02-16,2854.444,205.52
2009-02-17,2738.58,210.83
2009-02-18,2632.908,213.59
2009-02-19,2687.489,214.01
2009-02-20,2776.955,214.4
2009-02-23,2871.792,216.5
2009-02-24,2754.24,216.8
2009-02-25,2771.098,209.63
2009-02-26,2571.276,208.23
2009-02-27,2416.949,206.48
2009-03-02,2478.808,209.31
2009-03-03,2499.826,203.96
2009-03-04,2651.405,201.48
2009-03-05,2671.575,202.5
2009-03-06,2653.469,207.73
2009-03-09,2536.01,206.06
2009-03-10,2601.417,201.58
2009-03-11,2587.371,198.49
2009-03-12,2597.232,201.79
2009-03-13,2569.629,202.75
2009-03-16,2603.058,203.63
2009-03-17,2699.594,202.01
2009-03-18,2734.547,200.57
2009-03-19,2797.155,205.28
2009-03-20,2784.106,210.41
2009-03-23,2843.879,211.43
2009-03-24,2865.333,206.96
2009-03-25,2785.664,204.4
2009-03-26,2853.411,206.35
2009-03-27,2877.88,205.62
2009-03-30,2883.214,204.15
2009-03-31,2914.128,202.49
2009-04-01,2962.839,202.13
2009-04-02,2965.735,202.85
2009-04-03,2934.253,198.94
2009-04-07,2968.519,193.4
2009-04-08,2867.168,195.53
2009-04-09,2915.024,193.76
2009-04-10,3009.376,194.59
2009-04-13,3050.372,195.78
2009-04-14,3099.429,197.95
2009-04-15,3143.821,196.3
2009-04-16,3159.26,196.77
2009-04-17,3119.419,192.42
2009-04-20,3205.884,191.3
2009-04-21,3205.076,196.64
2009-04-22,3042.638,195.31
2009-04-23,3059.709,196.7
2009-04-24,3036.761,201.15
2009-04-27,2916.114,201.43
2009-04-28,2959.952,197.42
2009-04-29,3040.04,197.2
2009-04-30,3086.217,198.18
2009-05-04,3190.254,197.31
2009-05-05,3220.615,199.22
2009-05-06,3264.579,198.99
2009-05-07,3242.626,201.33
2009-05-08,3257.588,201.75
2009-05-11,3134.573,201.83
2009-05-12,3212.139,200.73
2009-05-13,3234.151,203.96
2009-05-14,3246.557,202.72
2009-05-15,3270.738,203.23
2009-05-18,3295.651,204.53
2009-05-19,3325.531,202.44
2009-05-20,3306.474,203.73
