entry_count,mean_return,median_return,mean_cagr,median_cagr,cagr_p10,cagr_p90,std_return,mean_maxdd,worst_maxdd,mean_sharpe,mean_calmar,best_return,worst_return,all_positive,positive_rate,win_rate_1m,win_rate_3m,win_rate_6m,win_rate_12m,win_rate_24m,w_stock,w_bond,w_gold,w_cash,version
4203,0.4282812125058706,0.40156500617067103,0.04347146891683118,0.042411404507281425,0.03707551977664427,0.059834477940514885,0.23920818217910472,0.03862230656878544,0.06354262920937759,1.0796132718237914,1.1255534114569128,1.0413586511670365,-0.014687986895846716,0,0.9840590054722818,0.9890004782400765,0.9980676328502416,1.0,1.0,1.0,0.1,0.5,0.1,0.3,hongli_lowvol
4203,0.5076693036898631,0.49425986907964004,0.05169680002292506,0.04901417962700494,0.04101746742710266,0.07633201298647471,0.2685031606838678,0.047972796909160516,0.06444594293660631,1.0937781812687752,1.0776273920575483,1.210895660299649,-0.024744477382218855,0,0.9838210801808233,0.9887613582018173,0.9978260869565218,1.0,1.0,1.0,0.1,0.5,0.15000000000000002,0.25,hongli_lowvol
4203,0.5897996744461447,0.589490395619362,0.05984797726587166,0.05609436280685842,0.044779848172953815,0.09299457504843667,0.2998505777468015,0.06033476026125947,0.07494527805686636,1.1118565332339139,0.991931964372114,1.3899658942306603,-0.03480096786859255,0,0.9833452295979063,0.9882831181252989,0.9973429951690821,1.0,1.0,1.0,0.1,0.5,0.2,0.2,hongli_lowvol
4203,0.6232084380331061,0.6057329650963812,0.06134564489513038,0.05780093280214005,0.04731260626589697,0.09403537510748206,0.33027856076035095,0.06782494918246768,0.09344881058930735,1.1140655937174944,0.9044701932631576,1.5500407790324489,-0.03533134825793249,0,0.9833452295979063,0.9882831181252989,0.9973429951690821,1.0,1.0,1.0,0.15000000000000002,0.5,0.2,0.15000000000000002,hongli_lowvol
4203,0.6685409623442706,0.6824904560067198,0.06727062568859338,0.0628326572650415,0.04809872135485258,0.10801194142139373,0.33137410127908884,0.07528039254782233,0.09771951516766846,1.1230486291680557,0.8936008887820198,1.574187789540106,-0.04485745835496435,0,0.9828693790149893,0.9878048780487805,0.9968599033816425,1.0,1.0,1.0,0.1,0.5,0.25,0.15000000000000002,hongli_lowvol
4203,0.7035729742035731,0.6979531487604709,0.0687685271455294,0.0642011939995426,0.05075960391914771,0.10882446414519072,0.36305337163710033,0.07979466643083408,0.1067055618117125,1.129704040911926,0.861818592914827,1.743736222292703,-0.045387838744304965,0,0.9826314537235308,0.9875657580105213,0.9966183574879227,1.0,1.0,1.0,0.15000000000000002,0.5,0.25,0.1,hongli_lowvol
4203,0.7384458948458911,0.7151862683232195,0.07022390187264684,0.06604864261243826,0.0531112288477583,0.11010636086509257,0.3952022015568337,0.086934685538117,0.11608229502932126,1.1330366193846875,0.8077777176965433,1.914581684105479,-0.04591821913364491,0,0.9814418272662384,0.9863701578192252,0.9958937198067633,1.0,1.0,1.0,0.20000000000000004,0.5,0.25,0.05,hongli_lowvol
4203,0.7522867183585483,0.780319262158802,0.07488340913682333,0.0697161400220363,0.051550788654865086,0.12366363042365915,0.36553035743028545,0.0902867850595773,0.12000333903793522,1.1380346920228455,0.8293950115447152,1.7551682024666353,-0.05491394884133649,0,0.9823935284320723,0.9873266379722621,0.9963768115942029,1.0,1.0,1.0,0.1,0.5,0.3,0.1,hongli_lowvol
4203,0.7893054476915851,0.797878531459411,0.07640647951298972,0.07092170977631818,0.05409386472654583,0.12419900826842967,0.3986126103337145,0.09339510478194818,0.1287245303095235,1.1473775544123879,0.8180994035113274,1.9498841257388646,-0.05544432923067688,0,0.9819176778491554,0.9868483978957436,0.9958937198067633,1.0,1.0,1.0,0.15000000000000002,0.5,0.3,0.05,hongli_lowvol
4203,0.8181083692719153,0.8078675395478254,0.07738470877669751,0.07193791887026091,0.056085169601003806,0.12466237097395894,0.42661792940805426,0.09924780374281925,0.13836763010436134,1.14406038013184,0.7797120526437485,2.1102412102051264,-0.056103297600231916,0,0.9816797525576969,0.9866092778574844,0.9956521739130435,1.0,1.0,1.0,0.20000000000000004,0.45,0.3,0.05,hongli_lowvol
