date,open,high,low,close,volume,amount
2008-08-04,2759.8,2759.8,2683.91,2687.55,5972906.0,5436500480.0
2008-08-05,2683.84,2695.04,2575.85,2582.16,8046384.0,7688378880.0
2008-08-06,2597.73,2614.61,2550.19,2590.76,6838590.0,5979063808.0
2008-08-07,2589.28,2612.05,2562.19,2592.37,5549979.0,5082008064.0
2008-08-08,2591.63,2591.63,2450.83,2455.95,6933512.0,6239303680.0
2008-08-11,2449.03,2451.26,2310.3,2326.84,7688190.0,6428604928.0
2008-08-12,2310.76,2377.0,2298.09,2360.44,6584794.0,5591300608.0
2008-08-13,2350.22,2398.05,2300.95,2376.1,6198864.0,5099921408.0
2008-08-14,2360.38,2396.96,2345.39,2375.97,4353338.0,3820727040.0
2008-08-15,2374.71,2400.0,2342.03,2368.55,4466511.0,3753341184.0
2008-08-18,2376.1,2378.26,2227.33,2228.15,5237596.0,4227633152.0
2008-08-19,2199.78,2267.42,2188.66,2262.47,4365054.0,3409381376.0
2008-08-20,2251.57,2422.51,2223.46,2418.71,10513312.0,8515867648.0
2008-08-21,2377.53,2413.26,2312.2,2318.93,8552673.0,7069864960.0
2008-08-22,2297.75,2311.75,2239.3,2273.84,5482280.0,4343411200.0
2008-08-25,2269.93,2290.74,2232.31,2254.34,4025363.0,3222877440.0
2008-08-26,2232.55,2232.65,2148.0,2167.12,5121225.0,3918358784.0
2008-08-27,2160.91,2191.2,2118.82,2157.4,4685519.0,3554079744.0
2008-08-28,2155.26,2182.46,2144.64,2173.05,4233004.0,3328524800.0
2008-08-29,2179.4,2256.54,2179.4,2233.28,6447928.0,5151943680.0
2008-09-01,2217.11,2220.77,2164.96,2177.14,4749172.0,4025456640.0
2008-09-02,2162.96,2190.66,2140.49,2172.64,3627366.0,2895667968.0
2008-09-03,2165.13,2175.86,2123.78,2142.43,4745436.0,3947917824.0
2008-09-04,2136.85,2173.51,2127.23,2152.82,4102837.0,3446045696.0
2008-09-05,2099.9,2127.47,2082.81,2088.46,4676863.0,3574924544.0
2008-09-08,2090.49,2100.68,2013.85,2018.23,4405386.0,3266988032.0
2008-09-09,2027.51,2056.31,2011.1,2042.64,3837964.0,2849740288.0
2008-09-10,2030.73,2086.08,2013.93,2051.7,4724506.0,3555286272.0
2008-09-11,2051.41,2064.94,2008.24,2011.46,4235506.0,3177208576.0
2008-09-12,2009.81,2043.87,2009.81,2024.08,4090545.0,2884099840.0
2008-09-16,2019.57,2020.58,1979.91,1997.32,5962563.0,4118607616.0
2008-09-17,1992.17,2016.52,1954.07,1959.53,5550682.0,3950243328.0
2008-09-18,1924.78,1953.86,1833.46,1914.64,8668601.0,6057907712.0
2008-09-19,2069.61,2079.88,2051.15,2079.88,7565353.0,5748766208.0
2008-09-22,2207.61,2252.23,2095.72,2163.63,22369170.0,18119145472.0
2008-09-23,2098.44,2125.72,2061.74,2072.69,11978864.0,9882688512.0
2008-09-24,2038.2,2094.32,2018.08,2094.09,7457226.0,5859584000.0
2008-09-25,2097.75,2196.08,2093.23,2175.2,15437232.0,12274718720.0
2008-09-26,2188.11,2218.44,2161.41,2203.04,11267813.0,9075846144.0
2008-10-06,2161.4,2161.4,2079.89,2080.21,9587319.0,7600420352.0
2008-10-07,2010.32,2085.88,1985.77,2053.11,8164964.0,6265309696.0
2008-10-08,2006.16,2032.26,1989.16,2005.1,6716075.0,4965366784.0
2008-10-09,2039.52,2044.9,1969.32,1969.52,6794324.0,4915825664.0
2008-10-10,1900.84,1903.73,1865.19,1875.45,7761575.0,5314041856.0
2008-10-13,1852.21,1912.23,1800.03,1911.66,8116756.0,5445145600.0
2008-10-14,1965.57,1973.33,1867.38,1867.38,9949212.0,6927349248.0
2008-10-15,1848.99,1852.91,1818.11,1839.04,6830051.0,4262416896.0
2008-10-16,1774.72,1790.93,1750.32,1750.46,7925179.0,4721646080.0
2008-10-17,1760.07,1781.71,1744.08,1774.74,5849191.0,3543516672.0
2008-10-20,1772.65,1831.36,1753.21,1828.09,6893154.0,4331101184.0
2008-10-21,1835.04,1861.16,1817.71,1817.94,8756965.0,6014554624.0
2008-10-22,1796.72,1821.07,1775.49,1775.59,6656964.0,4362953216.0
2008-10-23,1740.35,1784.18,1731.79,1783.39,6103157.0,3993104384.0
2008-10-24,1777.56,1790.68,1739.13,1748.09,5966341.0,3939702784.0
2008-10-27,1713.96,1713.96,1628.69,1629.95,7633584.0,4460429312.0
2008-10-28,1601.09,1671.97,1594.12,1665.35,7608616.0,4524440064.0
2008-10-29,1686.27,1689.66,1621.39,1621.55,6556932.0,4003357696.0
2008-10-30,1630.52,1668.84,1610.11,1651.19,7934144.0,4605869056.0
2008-10-31,1642.44,1649.08,1609.03,1615.56,6343714.0,3594864128.0
2008-11-03,1606.79,1620.27,1592.34,1596.1,4988712.0,2797298944.0
2008-11-04,1589.71,1591.91,1555.37,1568.82,5151911.0,3007527936.0
2008-11-05,1579.27,1633.15,1579.27,1618.69,8387698.0,4763769856.0
2008-11-06,1583.72,1615.28,1572.68,1603.55,7765625.0,3967528960.0
2008-11-07,1578.96,1625.5,1571.55,1617.39,6487917.0,3400153856.0
2008-11-10,1640.94,1722.4,1640.94,1722.4,14735932.0,8256495616.0
2008-11-11,1723.92,1755.52,1707.07,1717.48,18708345.0,10583751680.0
2008-11-12,1696.19,1731.12,1690.65,1730.1,10897145.0,6333408768.0
2008-11-13,1713.4,1822.56,1702.21,1810.39,20286656.0,12345803776.0
2008-11-14,1827.44,1872.43,1797.29,1872.43,22780109.0,14448960512.0
2008-11-17,1862.55,1922.64,1844.72,1922.54,22119563.0,13970256896.0
2008-11-18,1905.34,1919.7,1772.31,1776.57,22904659.0,13844152320.0
2008-11-19,1759.79,1878.75,1759.79,1875.0,19642878.0,12503678976.0
2008-11-20,1838.64,1899.69,1821.91,1851.81,19972119.0,14075037696.0
2008-11-21,1802.73,1877.23,1763.14,1839.84,19644939.0,12328317952.0
2008-11-24,1840.83,1851.1,1772.35,1775.12,12180654.0,7724890624.0
2008-11-25,1800.49,1814.38,1737.18,1766.74,10012642.0,6613794304.0
2008-11-26,1764.31,1813.0,1750.41,1791.66,13301519.0,7916974592.0
2008-11-27,1908.26,1912.86,1819.69,1821.41,22222734.0,13686403072.0
2008-11-28,1804.55,1828.86,1786.15,1798.44,12623493.0,7654043648.0
2008-12-01,1792.59,1828.03,1764.32,1827.94,11787778.0,7272155648.0
2008-12-02,1793.42,1851.57,1783.8,1837.74,14169915.0,9121046528.0
