entry_count,mean_return,median_return,mean_cagr,median_cagr,cagr_p10,cagr_p90,std_return,mean_maxdd,worst_maxdd,mean_sharpe,mean_calmar,best_return,worst_return,all_positive,positive_rate,win_rate_1m,win_rate_3m,win_rate_6m,win_rate_12m,win_rate_24m,w_stock,w_bond,w_gold,w_cash,version
5897,1.5685085097695393,1.2404031709195493,0.08103831099828003,0.07483636963548523,0.0644378945011804,0.13814547332381,1.1703926731398804,0.13194870240143586,0.15086569666145325,1.2738888674404962,0.6141652742573555,4.633772611272217,-0.045301387214652045,0,0.9850771578768865,0.9885976855003403,0.993657867672266,1.0,1.0,1.0,0.20000000000000004,0.2,0.3,0.3,sp500
5897,1.5994284597530835,1.2749052999904609,0.08195604281858114,0.07492293681770823,0.06810364147428608,0.1346152277867094,1.1695147125470986,0.13446030312789478,0.15336291496563786,1.3969085586647605,0.6095185040645558,4.584611156632352,-0.032435880700992015,0,0.9866033576394777,0.9901293396868618,0.9948577305450805,1.0,1.0,1.0,0.25000000000000006,0.2,0.25,0.3,sp500
5897,1.7081738246698865,1.3837444333266853,0.08470569303568438,0.07746598805786409,0.07291944702601216,0.13036169406364215,1.2331995574822219,0.1394023667742693,0.16071906216524995,1.579216924484392,0.6076345401857213,4.801365157230535,-0.01967497479664071,0,0.9889774461590639,0.9925119128658951,0.9955433664724032,1.0,1.0,1.0,0.30000000000000004,0.2,0.2,0.3,sp500
5897,1.7373542215928928,1.3422611685734194,0.08709802871235313,0.07983872789893898,0.06734025014162537,0.1525468638088928,1.3194259947573082,0.14251440285142258,0.16659658672029104,1.265256650250854,0.6111524657838028,5.283106234060113,-0.054606013424815414,0,0.9843988468712905,0.9879169503063309,0.9934864586904354,1.0,1.0,1.0,0.20000000000000004,0.2,0.35000000000000003,0.25,sp500
5897,1.726729900231216,1.3663553072485404,0.08800482432508047,0.07921642003604767,0.06737163383163351,0.15448825013917725,1.27562644361552,0.1330309861154424,0.16673307281847727,1.2796413865843668,0.6615362848525466,5.143093933783,-0.05235700847607472,0,0.9845684246226895,0.9880871341048332,0.9934864586904354,1.0,1.0,1.0,0.20000000000000004,0.15000000000000002,0.35000000000000003,0.3,sp500
5897,1.7693604935534548,1.4251507033329252,0.08894401988933007,0.07969582294272226,0.07121844856628075,0.15026072891436598,1.289512863837479,0.1319875293303759,0.16932014346347626,1.3984074179986665,0.6738819973415495,5.14503607286757,-0.03949150196241269,0,0.9855858911310836,0.9891082368958475,0.9940006856359274,1.0,1.0,1.0,0.25000000000000006,0.15000000000000002,0.3,0.3,sp500
5897,1.8818513915211157,1.5111106992967525,0.0906151782253833,0.08212269396523952,0.07631253836752205,0.14394672314605564,1.3809505183870165,0.147051702001626,0.17393225895654063,1.5501288481328312,0.6162130529055783,5.435672893617806,-0.028875000397494244,0,0.9871120908936748,0.9906398910823689,0.9950291395269112,1.0,1.0,1.0,0.30000000000000004,0.2,0.25,0.25,sp500
5897,1.8819188449986555,1.4781798834730537,0.09387466017656383,0.08328716112500478,0.07011568564860378,0.1691034715757999,1.399637663181794,0.1445863840065827,0.18186401344099581,1.2636883152042515,0.649263489239,5.719497936548579,-0.061661634686237976,0,0.9838901136170934,0.9874063989108237,0.9933150497086047,1.0,1.0,1.0,0.20000000000000004,0.15000000000000002,0.4,0.25,sp500
5897,1.8741119263405939,1.5045605347828421,0.09486383092385271,0.08277248108066027,0.07045974777407933,0.17126749305885108,1.3564153411923996,0.13556365050502941,0.18242443240876816,1.275821394663273,0.6997733579056523,5.578548526397679,-0.05994764593205648,0,0.9843988468712905,0.9879169503063309,0.9934864586904354,1.0,1.0,1.0,0.20000000000000004,0.1,0.4,0.3,sp500
5897,1.9293950206845196,1.5716238476997941,0.09571891942900378,0.0839542509303588,0.07421732665868883,0.16635325592751476,1.3932140106604922,0.132793770402982,0.18507600391308135,1.3879992207224938,0.7208088085648205,5.663216265377458,-0.047507027759809306,0,0.9850771578768865,0.9885976855003403,0.993657867672266,1.0,1.0,1.0,0.25000000000000006,0.1,0.35000000000000003,0.3,sp500
