w_stock,w_bond,w_gold,w_cash,entry_count,mean_return,median_return,mean_cagr,median_cagr,cagr_p10,cagr_p90,std_return,mean_maxdd,worst_maxdd,mean_sharpe,mean_calmar,best_return,worst_return,all_positive,positive_rate,win_rate_1m,win_rate_3m,win_rate_6m,win_rate_12m,win_rate_24m,version,version_label
0.1,0.5,0.1,0.3,4203,0.4282812125058706,0.401565006170671,0.0434714689168311,0.0424114045072814,0.0370755197766442,0.0598344779405148,0.2392081821791047,0.0386223065687854,0.0635426292093775,1.0796132718237914,1.1255534114569128,1.0413586511670363,-0.0146879868958467,0,0.9840590054722818,0.9890004782400764,0.9980676328502416,1.0,1.0,1.0,hongli_lowvol,红利低波
0.1,0.5,0.15,0.25,4203,0.5076693036898631,0.49425986907964,0.051696800022925,0.0490141796270049,0.0410174674271026,0.0763320129864747,0.2685031606838678,0.0479727969091605,0.0644459429366063,1.0937781812687752,1.0776273920575483,1.210895660299649,-0.0247444773822188,0,0.9838210801808231,0.9887613582018172,0.9978260869565218,1.0,1.0,1.0,hongli_lowvol,红利低波
0.1,0.5,0.2,0.2,4203,0.5897996744461447,0.589490395619362,0.0598479772658716,0.0560943628068584,0.0447798481729538,0.0929945750484366,0.2998505777468015,0.0603347602612594,0.0749452780568663,1.111856533233914,0.991931964372114,1.3899658942306603,-0.0348009678685925,0,0.9833452295979064,0.9882831181252988,0.997342995169082,1.0,1.0,1.0,hongli_lowvol,红利低波
0.15,0.5,0.2,0.15,4203,0.6232084380331061,0.6057329650963812,0.0613456448951303,0.05780093280214,0.0473126062658969,0.094035375107482,0.3302785607603509,0.0678249491824676,0.0934488105893073,1.1140655937174944,0.9044701932631576,1.5500407790324489,-0.0353313482579324,0,0.9833452295979064,0.9882831181252988,0.997342995169082,1.0,1.0,1.0,hongli_lowvol,红利低波
0.1,0.5,0.25,0.15,4203,0.6685409623442706,0.6824904560067198,0.0672706256885933,0.0628326572650415,0.0480987213548525,0.1080119414213937,0.3313741012790888,0.0752803925478223,0.0977195151676684,1.1230486291680557,0.8936008887820198,1.574187789540106,-0.0448574583549643,0,0.9828693790149892,0.9878048780487804,0.9968599033816424,1.0,1.0,1.0,hongli_lowvol,红利低波
0.15,0.5,0.25,0.1,4203,0.7035729742035731,0.6979531487604709,0.0687685271455294,0.0642011939995426,0.0507596039191477,0.1088244641451907,0.3630533716371003,0.079794666430834,0.1067055618117125,1.129704040911926,0.861818592914827,1.743736222292703,-0.0453878387443049,0,0.9826314537235308,0.9875657580105212,0.9966183574879228,1.0,1.0,1.0,hongli_lowvol,红利低波
0.2,0.5,0.25,0.05,4203,0.7384458948458911,0.7151862683232195,0.0702239018726468,0.0660486426124382,0.0531112288477583,0.1101063608650925,0.3952022015568337,0.086934685538117,0.1160822950293212,1.1330366193846877,0.8077777176965433,1.914581684105479,-0.0459182191336449,0,0.9814418272662384,0.9863701578192252,0.9958937198067632,1.0,1.0,1.0,hongli_lowvol,红利低波
0.1,0.5,0.3,0.1,4203,0.7522867183585483,0.780319262158802,0.0748834091368233,0.0697161400220363,0.051550788654865,0.1236636304236591,0.3655303574302854,0.0902867850595773,0.1200033390379352,1.1380346920228457,0.8293950115447152,1.7551682024666353,-0.0549139488413364,0,0.9823935284320724,0.987326637972262,0.9963768115942028,1.0,1.0,1.0,hongli_lowvol,红利低波
0.15,0.5,0.3,0.05,4203,0.7893054476915851,0.797878531459411,0.0764064795129897,0.0709217097763181,0.0540938647265458,0.1241990082684296,0.3986126103337145,0.0933951047819481,0.1287245303095235,1.147377554412388,0.8180994035113274,1.9498841257388648,-0.0554443292306768,0,0.9819176778491554,0.9868483978957436,0.9958937198067632,1.0,1.0,1.0,hongli_lowvol,红利低波
0.2,0.45,0.3,0.05,4203,0.8181083692719153,0.8078675395478254,0.0773847087766975,0.0719379188702609,0.0560851696010038,0.1246623709739589,0.4266179294080542,0.0992478037428192,0.1383676301043613,1.14406038013184,0.7797120526437485,2.1102412102051264,-0.0561032976002319,0,0.9816797525576968,0.9866092778574844,0.9956521739130436,1.0,1.0,1.0,hongli_lowvol,红利低波
0.1,0.5,0.35,0.05,4203,0.842273809558494,0.8863404772078922,0.082735260785469,0.0766818939383497,0.0552359128718912,0.1406457355010532,0.4033478015970303,0.1051461542914196,0.1421493107214092,1.15476172497229,0.7868595988414633,1.95717635819478,-0.0649704393277091,0,0.9819176778491554,0.9868483978957436,0.9958937198067632,1.0,1.0,1.0,hongli_lowvol,红利低波
0.15,0.45,0.35,0.05,4203,0.8731449765169023,0.8979679013817388,0.0837758514546699,0.0773265859494012,0.0571185037802946,0.1397073735346524,0.4323019458201971,0.1077106243858071,0.1510056590398714,1.1568131886460205,0.7777863319647509,2.158741832636796,-0.0656294076972634,0,0.9816797525576968,0.9866092778574844,0.9956521739130436,1.0,1.0,1.0,hongli_lowvol,红利低波
0.2,0.4,0.35,0.05,4203,0.903533082931166,0.9094216310563036,0.0847726580804385,0.0781384942066145,0.0591966464676305,0.1401334109449128,0.4615671885093357,0.1123711817370987,0.1603783029739485,1.156616979180886,0.7543985634926477,2.325390083860298,-0.0662883760668183,0,0.9814418272662384,0.9863701578192252,0.9954106280193236,1.0,1.0,1.0,hongli_lowvol,红利低波
0.1,0.45,0.4,0.05,4203,0.9265257720261868,0.9906762811893424,0.0901314683884363,0.0831984579247571,0.0580109448663357,0.1570536899329707,0.4357675847137341,0.1199292647636929,0.1642007644414008,1.160864404470182,0.7515385720577059,2.149653163549374,-0.0751555177942954,0,0.9816797525576968,0.9866092778574844,0.9956521739130436,1.0,1.0,1.0,hongli_lowvol,红利低波
0.15,0.4,0.4,0.05,4203,0.9585730341642684,1.0038560678551245,0.0911736329440583,0.0839090299818183,0.0598650331613503,0.1557620925588944,0.4653273114315975,0.122288957442199,0.1726681801850887,1.1645889190369405,0.7455590010009886,2.3577470287482023,-0.0758144861638495,0,0.9814418272662384,0.9863701578192252,0.9954106280193236,1.0,1.0,1.0,hongli_lowvol,红利低波
0.2,0.35,0.4,0.05,4203,0.99043710301336,1.01704733965662,0.092181783896819,0.0845706147841263,0.0618833335783862,0.1560374064253528,0.4956677315892117,0.1257134692287919,0.1815789932156036,1.166505594898601,0.7332689525022413,2.5383060247083384,-0.0764734545334039,0,0.98120390197478,0.986131037780966,0.9951690821256038,1.0,1.0,1.0,hongli_lowvol,红利低波
0.25,0.3,0.4,0.05,4203,1.053037799697272,1.0324109500782566,0.0940843510072267,0.086610305176132,0.0664058791369468,0.1562668621878186,0.5620278221217095,0.1279130515593013,0.1909039782614223,1.1872880115645716,0.7355336289792805,2.8570531274859747,-0.0771324229029591,0,0.9804901261004044,0.9854136776661884,0.994927536231884,0.9997547216090262,1.0,1.0,hongli_lowvol,红利低波
0.3,0.25,0.4,0.05,4203,1.0819189129110955,1.0466735878172957,0.0949180595817029,0.0880297374207699,0.0679007789181319,0.1572373354915663,0.5922716708380387,0.1326647277131769,0.1999447238850873,1.1831163446410888,0.7154732174698097,3.0605176890839427,-0.0777913912725133,0,0.9800142755174877,0.98493543758967,0.9944444444444444,0.9995094432180524,1.0,1.0,hongli_lowvol,红利低波
0.3500000000000001,0.2,0.4,0.05,4203,1.106183170766861,1.056678626195461,0.0956097867842948,0.0897220941718583,0.0690081207065241,0.1581914627400643,0.6167502152398018,0.1391878680639699,0.2099835313711381,1.1756462331462525,0.6869117841531497,3.2415287913420103,-0.0784503596420688,0,0.9795384249345706,0.9844571975131516,0.9939613526570048,0.9995094432180524,1.0,1.0,hongli_lowvol,红利低波
0.4000000000000001,0.15,0.4,0.05,4203,1.1339017931480018,1.0697331705166215,0.0963851605956817,0.0917135173856151,0.0700828426734746,0.1588401659694622,0.6456936434361923,0.1485360739228466,0.2199801909465264,1.1696642369299102,0.6489006882311071,3.4372962773535747,-0.0791093280116234,0,0.9790625743516536,0.9839789574366332,0.9934782608695653,0.9995094432180524,1.0,1.0,hongli_lowvol,红利低波
