version,version_label,tier,w_stock,w_bond,w_gold,w_cash,mean_cagr,worst_maxdd,mean_calmar,mean_sharpe,worst_return,sort_criterion
hongli_lowvol,红利低波,均衡型,0.1,0.5,0.1,0.3,0.0434714689168311,0.0635426292093775,1.1255534114569128,1.0796132718237914,-0.0146879868958467,mean_calmar最高
hongli_lowvol,红利低波,进取型,0.45,0.1,0.4,0.05,0.0972390735754267,0.2322186520712853,0.6154632717106047,1.164947831717228,-0.0797682963811775,mean_cagr最高(worst_maxdd≤25%)
sp500,标普500,均衡型,0.25,0.05,0.4,0.3,0.1030264538062485,0.2020282423404911,0.7540924935625999,1.384883006510119,-0.0561897139116706,mean_calmar最高
sp500,标普500,进取型,0.3500000000000001,0.05,0.4,0.2,0.1190753046775643,0.2491240202669438,0.740439325483611,1.579244518624436,-0.0504534289007049,mean_cagr最高(worst_maxdd≤25%)
nasdaq,纳指100,均衡型,0.25,0.05,0.4,0.3,0.1319211537746465,0.2235438055227821,0.7818318161497706,1.6165790777510691,-0.0348074785265961,mean_calmar最高
nasdaq,纳指100,进取型,0.3,0.1,0.4,0.2,0.1416120435763101,0.2461045838802157,0.7016637177017578,1.6207556293021532,-0.0393734545192905,mean_cagr最高(worst_maxdd≤25%)
nikkei225,日经225,均衡型,0.1,0.5,0.1,0.3,0.0474953569399858,0.069393761939615,1.093711591330415,1.0468476107154534,-0.0046039248369798,mean_calmar最高
nikkei225,日经225,进取型,0.3500000000000001,0.25,0.35,0.05,0.133427076596545,0.2486098851978965,0.8850962139984438,1.372520133805672,-0.0163305772348772,mean_cagr最高(worst_maxdd≤25%)
