group,holding,days,entries,avg_ret,med_ret,best,worst,std,win_rate,avg_ann
china_399006_SZ,1m,21,3355,0.44,0.16,11.15,-10.01,2.6,52.5,10.17
china_399006_SZ,3m,63,3355,1.32,0.62,21.24,-14.97,4.35,57.3,6.57
china_399006_SZ,6m,126,3355,2.55,1.55,32.35,-8.17,5.72,63.5,5.49
china_399006_SZ,12m,252,3355,5.61,3.04,37.87,-8.95,8.74,66.6,5.61
china_399006_SZ,24m,504,3355,13.68,12.5,62.61,-11.27,14.9,79.0,6.4
