entry_date,end_date,holding_days,total_return_pct,annualized_return_pct
2009-01-05,2009-07-13,126,17.9231,39.0585
2009-01-06,2009-07-14,126,18.7039,40.9063
2009-01-07,2009-07-15,126,19.2277,42.1523
2009-01-08,2009-07-16,126,20.3097,44.7441
2009-01-09,2009-07-17,126,19.6142,43.0755
2009-01-12,2009-07-20,126,20.3908,44.9394
2009-01-13,2009-07-21,126,21.5068,47.6391
2009-01-14,2009-07-22,126,20.6222,45.4971
2009-01-15,2009-07-23,126,21.3049,47.1488
2009-01-16,2009-07-24,126,20.1925,44.4625
2009-01-19,2009-07-27,126,20.5104,45.2275
2009-01-20,2009-07-28,126,21.0352,46.4953
2009-01-21,2009-07-29,126,18.1893,39.6871
2009-01-22,2009-07-30,126,18.3317,40.0239
2009-01-23,2009-07-31,126,19.5296,42.8733
2009-02-02,2009-08-03,126,18.8599,41.2768
2009-02-03,2009-08-04,126,18.2185,39.7562
2009-02-04,2009-08-05,126,17.3666,37.7493
2009-02-05,2009-08-06,126,16.8649,36.5741
2009-02-06,2009-08-07,126,14.5471,31.2103
2009-02-09,2009-08-10,126,13.9932,29.9445
2009-02-10,2009-08-11,126,13.3489,28.4797
2009-02-11,2009-08-12,126,11.1099,23.4542
2009-02-12,2009-08-13,126,11.3805,24.0562
2009-02-13,2009-08-14,126,8.064,16.7782
2009-02-16,2009-08-17,126,4.9645,10.1754
2009-02-17,2009-08-18,126,6.0531,12.4726
2009-02-18,2009-08-19,126,7.0142,14.5203
2009-02-19,2009-08-20,126,7.8502,16.3166
2009-02-20,2009-08-21,126,7.2771,15.0837
2009-02-23,2009-08-24,126,5.575,11.4608
2009-02-24,2009-08-25,126,6.8022,14.067
2009-02-25,2009-08-26,126,8.507,17.7377
2009-02-26,2009-08-27,126,10.4664,22.0283
2009-02-27,2009-08-28,126,10.9511,23.1016
2009-03-02,2009-08-31,126,8.4169,17.5422
2009-03-03,2009-09-01,126,9.2844,19.4308
