group,holding,days,entries,avg_ret,med_ret,best,worst,std,win_rate,avg_ann
china_000905_SH,1m,21,3699,0.48,0.36,12.8,-10.78,2.36,57.4,9.95
china_000905_SH,3m,63,3699,1.34,0.72,19.09,-14.39,3.88,59.3,6.41
china_000905_SH,6m,126,3699,2.53,1.72,25.74,-8.61,5.24,65.6,5.4
china_000905_SH,12m,252,3699,5.02,3.36,39.03,-9.25,7.59,74.3,5.02
china_000905_SH,24m,504,3699,10.68,7.38,53.05,-9.44,11.82,83.0,5.06
