group,holding,days,entries,avg_ret,med_ret,best,worst,std,win_rate,avg_ann
china_000688_SH,1m,21,1029,0.23,-0.01,9.86,-7.76,2.48,49.7,7.17
china_000688_SH,3m,63,1029,0.53,-0.33,16.61,-6.53,3.72,44.7,2.99
china_000688_SH,6m,126,1029,0.81,0.56,20.57,-6.63,4.41,54.7,1.83
china_000688_SH,12m,252,1029,2.33,0.36,26.62,-6.3,6.36,52.9,2.33
china_000688_SH,24m,504,1029,10.74,3.31,58.48,-9.31,16.82,65.5,4.95
