group,holding,days,entries,avg_ret,med_ret,best,worst,std,win_rate,avg_ann
china_000016_SH,1m,21,3699,0.4,0.24,11.62,-7.33,2.09,56.0,8.1
china_000016_SH,3m,63,3699,1.16,0.82,17.08,-11.14,3.59,62.6,5.51
china_000016_SH,6m,126,3699,2.21,1.62,24.54,-10.53,5.13,63.9,4.73
china_000016_SH,12m,252,3699,4.26,4.25,26.71,-11.84,6.72,68.3,4.26
china_000016_SH,24m,504,3699,9.53,8.73,44.11,-9.47,9.89,83.8,4.55
