group,holding,days,entries,avg_ret,med_ret,best,worst,std,win_rate,avg_ann
china_000922_SH,1m,21,3699,0.49,0.43,11.74,-9.32,2.11,60.3,9.24
china_000922_SH,3m,63,3699,1.38,1.04,16.69,-12.01,3.51,66.2,6.43
china_000922_SH,6m,126,3699,2.67,2.39,25.01,-9.69,4.98,71.7,5.65
china_000922_SH,12m,252,3699,5.08,5.11,34.47,-9.26,6.55,78.7,5.08
china_000922_SH,24m,504,3699,10.66,9.67,38.89,-10.48,9.29,88.6,5.1
