group,holding,days,entries,avg_ret,med_ret,best,worst,std,win_rate,avg_ann
china_H30269_CSI,1m,21,3699,0.53,0.47,10.9,-8.07,1.98,61.2,9.33
china_H30269_CSI,3m,63,3699,1.51,1.15,14.79,-9.96,3.28,69.8,6.85
china_H30269_CSI,6m,126,3699,2.92,2.65,22.07,-8.38,4.59,75.0,6.15
china_H30269_CSI,12m,252,3699,5.66,5.65,32.54,-8.29,6.16,79.4,5.66
china_H30269_CSI,24m,504,3699,11.79,10.82,43.78,-8.95,9.19,91.7,5.64
