group,holding,days,entries,avg_ret,med_ret,best,worst,std,win_rate,avg_ann
china_000932_SH,1m,21,3579,0.53,0.48,8.66,-8.53,2.18,59.0,9.84
china_000932_SH,3m,63,3579,1.57,0.94,14.99,-10.26,3.9,61.2,7.38
china_000932_SH,6m,126,3579,3.0,2.07,22.66,-8.43,5.53,65.0,6.39
china_000932_SH,12m,252,3579,6.08,5.23,28.94,-9.63,7.89,74.8,6.08
china_000932_SH,24m,504,3579,12.59,12.36,54.33,-10.36,12.42,82.8,5.95
