group,holding,days,entries,avg_ret,med_ret,best,worst,std,win_rate,avg_ann
sp500,1m,21,5393,0.59,0.61,12.75,-10.75,2.02,64.0,10.14
sp500,3m,63,5393,1.78,2.0,14.93,-10.78,3.24,73.1,7.95
sp500,6m,126,5393,3.61,3.96,22.59,-14.03,4.7,79.1,7.57
sp500,12m,252,5393,7.34,7.97,25.39,-15.13,6.7,85.6,7.34
sp500,24m,504,5393,15.64,15.43,48.45,-9.81,10.71,92.9,7.42
