group,holding,days,entries,avg_ret,med_ret,best,worst,std,win_rate,avg_ann
china_000852_SH,1m,21,2301,0.39,0.2,11.81,-11.4,2.44,54.7,8.96
china_000852_SH,3m,63,2301,1.12,0.45,21.71,-15.38,4.25,55.8,5.69
china_000852_SH,6m,126,2301,1.97,1.24,27.73,-9.08,5.42,60.1,4.28
china_000852_SH,12m,252,2301,3.74,3.03,22.96,-12.15,6.56,72.6,3.74
china_000852_SH,24m,504,2301,9.19,6.87,52.77,-13.57,11.79,79.4,4.35
