group,holding,days,entries,avg_ret,med_ret,best,worst,std,win_rate,avg_ann
china,1m,21,3715,0.42,0.29,10.38,-8.42,2.09,56.7,8.25
china,3m,63,3715,1.19,0.69,15.29,-10.39,3.61,60.8,5.66
china,6m,126,3715,2.3,1.64,24.91,-9.17,5.18,63.0,4.92
china,12m,252,3715,4.48,3.82,30.24,-9.84,6.99,68.9,4.48
china,24m,504,3715,9.94,9.0,45.2,-10.29,10.55,82.8,4.73
